name,environment,unique,alt_sort,short_desc,long_desc,sources
Ancient Titan,,,Titan Ancient,,,Tome of Beasts: 380
Ancient Void Dragon,,,Dragon Other Void 1Ancient,,,Tome of Beasts: 138
Ancient White Dragon,"arctic, cave, underground",,Dragon Chromatic White 1Ancient,,,"Monster Manual: 100, SRD 5.1: 288"
Ancient Wind Dragon,,,Dragon Other Wind 1Ancient,,,Tome of Beasts: 142
Andrenjinyi,,,Andrenjinyi,,,Tome of Beasts: 17
Androsphinx,"dungeon, ruins",,Sphinx Andro,,,"Monster Manual: 281, SRD 5.1: 347"
Angatra,,,Angatra,,,Tome of Beasts: 19
Angler Worm,,,Angler Worm,,,Tome of Beasts: 22
Animated Armor,"dungeon, ruins, urban",,Animated Armor,,,"Basic Rules v1: 9, Monster Manual: 19, SRD 5.1: 263"
Ankheg,"coast, forest, grassland, underground",,Ankheg,,,"Monster Manual: 21, Princes of the Apocalypse Online Supplement v1.0: 8, SRD 5.1: 264"
Anubian,,,Anubian,,,Tome of Beasts: 24
Apau Perape,,,Demon Apau Perape,,,Tome of Beasts: 75
Ape,forest,,Ape,,,"Basic Rules v1: 10, Monster Manual: 317, SRD 5.1: 366"
Arbeyach,,unique,Devil 1Arch Arbeyach,,,Tome of Beasts: 95
Arboreal Grappler,,,Arboreal Grappler,,,Tome of Beasts: 25
Arcane Guardian,,,Spectral Guardian Arcane,,,Tome of Beasts: 358
Archmage,"ruins, urban",,Archmage,"**Archmages** are powerful (and usually quite old) spellcasters dedicated to the study of the arcane arts. Benevolent ones counsel kings and queens, while evil ones rule as tyrants and pursue lichdom. Those who are neither good nor evil sequester themselves in remote towers to practice their magic without interruption. <br /> <br />An archmage typically has one or more apprentice mages, and an archmage's abode has numerous magical wards and guardians to discourage interlopers.",,"Monster Manual: 342, SRD 5.1: 395"
Aridni,,,Aridni,,,Tome of Beasts: 26
Asanbosam,,,Asanbosam,,,Tome of Beasts: 27
Ash Drake,,,Drake Ash,,,Tome of Beasts: 149
Assassin,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, underground, urban",,Assassin,"Trained in the use of poison, **Assassins** are remorseless killers who work for nobles, guildmasters, sovereigns, and anyone else who can afford them.",,"HotDQ supplement: 6, Monster Manual: 343, Princes of the Apocalypse Online Supplement v1.0: 8, SRD 5.1: 396"
Automata Devil,,,Devil Automata,,,Tome of Beasts: 102
Avatar Of Boreas,,unique,Boreas Avatar,,,Tome of Beasts: 42
Awakened Shrub,"forest, grassland",,Awakened Shrub,An **awakened shrub** is an ordinary shrub given sentience and mobility by the *awaken* spell or similar magic.,,"Basic Rules v1: 10, Monster Manual: 317, SRD 5.1: 366"
Awakened Tree,forest,,Awakened Tree,An **awakened tree** is an ordinary tree given sentience and mobility by the *awaken* spell or similar magic.,,"Basic Rules v1: 10, Monster Manual: 317, SRD 5.1: 366"
Axe Beak,grassland,,Axe Beak,"An **axe beak** is a tall flightless bired with strong legs and a heavy, wedge-shaped beak. It has a nasty disposition and tends to attack any unfamiliar creature that wanders too close.",,"Basic Rules v1: 11, Monster Manual: 317, SRD 5.1: 366"
Azer,"planar, underground",,Azer,,,"Monster Manual: 22, Princes of the Apocalypse Online Supplement v1.0: 9, SRD 5.1: 265"
Azza Gremlin,,,Azza Gremlin,,,Tome of Beasts: 28
"Baba Yaga's Horsemen, Black Night",,unique,Baba Yaga's Horsemen 3,,,Tome of Beasts: 29
"Baba Yaga's Horsemen, Bright Day",,unique,Baba Yaga's Horsemen 1,,,Tome of Beasts: 29
"Baba Yaga's Horsemen, Red Sun",,unique,Baba Yaga's Horsemen 2,,,Tome of Beasts: 29
Baboon,"forest, grassland",,Baboon,,,"Basic Rules v1: 11, Monster Manual: 318, SRD 5.1: 367"
Badger,forest,,Badger,,,"Basic Rules v1: 11, Monster Manual: 318, SRD 5.1: 367"
Bagiennik,,,Bagiennik,,,Tome of Beasts: 31
Balor,"dungeon, planar",,Demon Balor,,,"Monster Manual: 55, SRD 5.1: 270"
Bandit,"arctic, coast, desert, forest, grassland, mountain, ruins, urban",,Bandit,"**Bandits** rove in gangs and are sometimes led by thugs, veterans, or spellcasters. Not all bandits are evil. Oppression, drought, disease, or famine can often drive otherwise honest folk to a life of banditry.<br />**Pirates** are bandits of the high seas. They might be freebooters interested only in treasure and murder, or they might be privateers sanctioned by the crown to attack and plunder an enemy nation's vessels.",,"Basic Rules v1: 53, HotDQ supplement: 6, Monster Manual: 343, SRD 5.1: 396"
Bandit Captain,"arctic, coast, desert, forest, grassland, mountain, ruins, urban",,Bandit Captain,"It takes a strong personality, ruthless cunning, and a silver tongue to keep a gang of bandits in line. The **bandit captain** has these qualities in spades. <br />In addition to managing a crew of selfish malcontents, the **pirate captain** is a variation of the bandit captain, with a ship to protect and command. To keep the crew in line, the captain must mete out rewards and punishment on a regular basis. <br />More than treasure, a bandit captain or pirate captain craves infamy. A prisoner who appeals to the captain's vanity or ego is more likely to be treated fairly than a prisoner who does not or claims not to know anything of the captain's colorful reputation.",,"Monster Manual: 344, Princes of the Apocalypse Online Supplement v1.0: 9, SRD 5.1: 397"
Bandit Lord,,,Bandit Lord,,,Tome of Beasts: 418
Barbed Devil,"dungeon, planar",,Devil Barbed,,,"Monster Manual: 70, SRD 5.1: 274"
Basilisk,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, underground",,Basilisk,,,"Basic Rules v1: 12, Monster Manual: 24, SRD 5.1: 265"
Bastet Temple Cat,,,Bastet Temple Cat,,,Tome of Beasts: 32
Bat,"cave, forest, mountain, underground, urban",,Bat,,,"Basic Rules v1: 12, Monster Manual: 318, Player's Handbook: 304, SRD 5.1: 367"
Bat Swarm,"cave, dungeon, forest, ruins, swamp, underground, urban",,Bat Swarm,,,"Basic Rules v1: 45, Monster Manual: 337, SRD 5.1: 389"
Bearded Devil,"dungeon, planar",,Devil Bearded,,,"Monster Manual: 70, SRD 5.1: 274"
Bearfolk,,,Bearfolk,,,Tome of Beasts: 33
Beggar Ghoul,,,Ghoul Beggar,,,Tome of Beasts: 213
Behir,"cave, mountain, underground",,Behir,,,"Monster Manual: 25, SRD 5.1: 265"
Behtu,,,Behtu,,,Tome of Beasts: 34
Beli,,,Beli,,,Tome of Beasts: 35
Bereginyas,,,Bereginyas,,,Tome of Beasts: 36
Berserker,"arctic, cave, desert, forest, grassland, mountain, swamp, urban",,Berserker,"Hailing from uncivilized lands, unpredictable **berserkers** come together in war parties and seek conflict whereever they can find it.",,"Basic Rules v1: 53, HotDQ supplement: 6, Monster Manual: 344, SRD 5.1: 397"
Berstuc,,,Demon Berstuc,,,Tome of Beasts: 76
Black Bear,"cave, forest, grassland, mountain",,Bear Black,,,"Basic Rules v1: 12, Monster Manual: 318, Player's Handbook: 304, SRD 5.1: 367"
Black Dragon Wyrmling,swamp,,Dragon Chromatic Black 4Wyrmling,,,"Monster Manual: 88, SRD 5.1: 282"
Black Knight Commander,,,Black Knight Commander,,,Tome of Beasts: 418
Black Pudding,dungeon,,Pudding Black,,,"Monster Manual: 241, Princes of the Apocalypse Online Supplement v1.0: 10, SRD 5.1: 337"
Blemmyes,,,Blemmyes,,,Tome of Beasts: 37
Blink Dog,"forest, grassland",,Blink Dog,"A **blink dog** takes its name from its ability to blink in and out of existene, a talent it uses to aid its attacks and to avoid harm. Blink dogs harbour a ling-standig hatred for displacer beasts and attack them on sight.",,"Basic Rules v1: 12, Monster Manual: 318, SRD 5.1: 368"
Blood Hag,,,Blood Hag,,,Tome of Beasts: 242
Blood Hawk,"coast, grassland, mountain",,Hawk Blood,,,"Basic Rules v1: 13, Monster Manual: 319, SRD 5.1: 368"
Blue Dragon Wyrmling,desert,,Dragon Chromatic Blue 4Wyrmling,,,"Monster Manual: 91, SRD 5.1: 284"
Boar,"forest, grassland",,Boar,,,"Basic Rules v1: 13, Monster Manual: 319, Player's Handbook: 304, SRD 5.1: 368"
Boloti,,,Boloti,,,Tome of Beasts: 38
Bone Collective,,,Bone Collective,,,Tome of Beasts: 39
Bone Crab,,,Bone Crab,,,Tome of Beasts: 40
Bone Devil,"dungeon, planar",,Devil Bone,,,"Monster Manual: 71, SRD 5.1: 275"
Bone Swarm,,,Bone Swarm,,,Tome of Beasts: 41
Bonepowder Ghoul,,,Ghoul Bonepowder,,,Tome of Beasts: 214
Bouda,,,Bouda,,,Tome of Beasts: 44
Brass Dragon Wyrmling,"cave, underground",,Dragon Metallic Brass 4Wyrmling,,,"Monster Manual: 106, SRD 5.1: 292"
Bronze Dragon Wyrmling,coast,,Dragon Metallic Bronze 4Wyrmling,,,"Monster Manual: 109, SRD 5.1: 295"
Broodiken,,,Broodiken,,,Tome of Beasts: 45
Brown Bear,"cave, forest",,Bear Brown,,,"Basic Rules v1: 13, Monster Manual: 319, Player's Handbook: 304, SRD 5.1: 369"
Bucca,,,Bucca,,,Tome of Beasts: 46
Bugbear,"cave, dungeon, forest, mountain, ruins, urban",,Bugbear,"**Bugbears** are cruel and unruly humanoids that live to bully the weak and dislike being bossed arround. Despite their intimidating builds, bugbears move with surprising stealth and are fond of setting ambushes.",,"Basic Rules v1: 13, Monster Manual: 33, SRD 5.1: 266"
Bukavac,,,Bukavac,,,Tome of Beasts: 47
Bulette,"cave, desert, grassland, mountain, underground",,Bulette,,,"Monster Manual: 34, Princes of the Apocalypse Online Supplement v1.0: 10, SRD 5.1: 266"
Buraq,,,Buraq,,,Tome of Beasts: 48
Burrowling,,,Burrowling,,,Tome of Beasts: 49
Cactid,,,Cactid,,,Tome of Beasts: 50
"Camazotz, Demon Lord of Bats and Fire",,unique,Demon 1Lord Camazotz,,,Tome of Beasts: 85
Cambium,,,Cambium,,,Tome of Beasts: 51
Camel,desert,,Camel,,,"Basic Rules v1: 14, Monster Manual: 320, SRD 5.1: 369"
Carrion Beetle,,,Carrion Beetle,,,Tome of Beasts: 52
Cat,urban,,Cat,,,"Basic Rules v1: 14, Monster Manual: 320, Player's Handbook: 305, SRD 5.1: 369"
Cave Dragon Wyrmling,,,Dragon Other Cave 4Wyrmling,,,Tome of Beasts: 127
Cavelight Moss,,,Cavelight Moss,,,Tome of Beasts: 53
Centaur,"coast, desert, grassland",,Centaur,,,"Basic Rules v1: 14, Monster Manual: 38, SRD 5.1: 267"
Chain Devil,"dungeon, planar",,Devil Chain,,,"Monster Manual: 72, SRD 5.1: 275"
Chained Angel,,,Angel Chained,,,Tome of Beasts: 20
Chelicerae,,,Chelicerae,,,Tome of Beasts: 54
Chernomoi,,,Chernomoi,,,Tome of Beasts: 55
Child of the Briar,,,Child of the Briar,,,Tome of Beasts: 56
Chimera,mountain,,Chimera,,,"Basic Rules v1: 14, Monster Manual: 39, SRD 5.1: 267"
Chort Devil,,,Devil Chort,,,Tome of Beasts: 104
Chronalmental,,,Chronalmental,,,Tome of Beasts: 57
Chuul,"aquatic, coast",,Chuul,,,"Monster Manual: 40, Princes of the Apocalypse Online Supplement v1.0: 11, SRD 5.1: 267"
Cikavak,,,Cikavak,,,Tome of Beasts: 58
City Watch Captain,,,City Watch Captain,,,Tome of Beasts: 419
Clay Golem,"dungeon, ruins, urban",,Golem Clay,,,"Monster Manual: 168, SRD 5.1: 315"
Cloaker,"cave, dungeon, underground",,Cloaker,,,"Monster Manual: 41, Princes of the Apocalypse Online Supplement v1.0: 11, SRD 5.1: 268"
Clockwork Abomination,,,Clockwork Abomination,,,Tome of Beasts: 59
Clockwork Beetle,,,Clockwork Beetle,,,Tome of Beasts: 60
Clockwork Beetle Swarm,,,Clockwork Beetle Swarm,,,Tome of Beasts: 61
Clockwork Hound,,,Clockwork Hound,,,Tome of Beasts: 62
Clockwork Huntsman,,,Clockwork Huntsman,,,Tome of Beasts: 63
Clockwork Myrmidon,,,Clockwork Myrmidon,,,Tome of Beasts: 64
Clockwork Watchman,,,Clockwork Watchman,,,Tome of Beasts: 65
Clockwork Weaving Spider,,,Clockwork Weaving Spider,,,Tome of Beasts: 66
Cloud Giant,"mountain, planar",,Giant Cloud,,,"Monster Manual: 154, Princes of the Apocalypse Online Supplement v1.0: 12, SRD 5.1: 312"
Clurichaun,,,Clurichaun,,,Tome of Beasts: 67
Cobbleswarm,,,Cobbleswarm,,,Tome of Beasts: 68
Cockatrice,"forest, grassland, swamp",,Cockatrice,,,"Basic Rules v1: 15, Monster Manual: 42, SRD 5.1: 268"
Commoner,urban,,Commoner,"**Commoners** include peasants and serfs, slaves and servants, pilgrims, merchants, artisans, and hermits.",,"Basic Rules v1: 54, HotDQ supplement: 7, Monster Manual: 345, SRD 5.1: 398"
Constrictor Snake,"forest, swamp",,Snake Constrictor,,,"Basic Rules v1: 15, Monster Manual: 320, Player's Handbook: 305, SRD 5.1: 369"
Copper Dragon Wyrmling,"cave, desert, grassland",,Dragon Metallic Copper 4Wyrmling,,,"Monster Manual: 111, SRD 5.1: 298"
Coral Drake,,,Drake Coral,,,Tome of Beasts: 150
Corpse Mound,,,Corpse Mound,,,Tome of Beasts: 69
Corrupted Ogre Chieftain,,,Ogre Chieftain Corrupted,,,Tome of Beasts: 423
Corrupting Ooze,,,Corrupting Ooze,,,Tome of Beasts: 311
Couatl,planar,,Couatl,,,"Monster Manual: 43, SRD 5.1: 269"
Crab,"aquatic, coast",,Crab,,,"Basic Rules v1: 15, Monster Manual: 320, SRD 5.1: 370"
Crimson Drake,,,Drake Crimson,,,Tome of Beasts: 151
Crocodile,"aquatic, coast, swamp",,Crocodile,,,"Basic Rules v1: 15, HotDQ supplement: 7, Monster Manual: 320, Player's Handbook: 305, SRD 5.1: 370"
Crystalline Devil,,,Devil Crystalline,,,Tome of Beasts: 105
Cult Fanatic,"dungeon, urban",,Cult Fanatic,"**Fanatics** are often part of a cutl's leadership, using their charisma and dogma to influence and prey on thos eof weak will. Most are interested in personal power above all else.",,"Monster Manual: 345, Princes of the Apocalypse Online Supplement v1.0: 12, SRD 5.1: 398"
Cultist,"dungeon, urban",,Cultist,"**Cultists** swear allegiance to dark powers. They conceal their activities to avoid being ostracized, imprisoned, or executed for their beliefs.",,"Basic Rules v1: 54, HotDQ supplement: 7, Monster Manual: 345, SRD 5.1: 398"
Darakhul,,,Ghoul Darakhul,,,Tome of Beasts: 216
Darkmantle,"cave, underground",,Darkmantle,,,"Monster Manual: 46, Princes of the Apocalypse Online Supplement v1.0: 13, SRD 5.1: 269"
Dau,,,Dau,,,Tome of Beasts: 70
Death Butterfly Swarm,,,Death Butterfly Swarm,,,Tome of Beasts: 71
Death Dog,"desert, grassland, underground",,Death Dog,"A **death dog** is an ugly two-headed hound that roams plains, deserts, and the Underdark. Hate burns in a death dog's heart, and a taste for humanoid flesh drives it to attack travelers and explorers. Death dog saliva carries a foul disease that causes a victim's flesh to slowly rot off the bone.",,"Basic Rules v1: 16, Monster Manual: 321, SRD 5.1: 370"
Deathcap Myconid,,,Myconid Deathcap,,,Tome of Beasts: 300
Deathwisp,,,Deathwisp,,,Tome of Beasts: 72
Deep Drake,,,Drake Deep,,,Tome of Beasts: 152
Deep Gnome (Svirfneblin),"cave, dungeon, planar, underground",,Gnome Deep,,,"Monster Manual: 164, Princes of the Apocalypse Online Supplement v1.0: 13, SRD 5.1: 315"
Deep One,,,Deep One,,,Tome of Beasts: 73
Deep One Archimandrite,,,Deep One Archimandrite,,,Tome of Beasts: 74
Deep One Hybrid Priest,,,Deep One Hybrid Priest,,,Tome of Beasts: 73
Deer,"forest, grassland",,Deer,,,"Basic Rules v1: 16, HotDQ supplement: 7, Monster Manual: 321, SRD 5.1: 370"
Degenerate Titan,,,Titan Degenerate,,,Tome of Beasts: 381
Derro Fetal Savant,,,Derro Fetal Savant,,,Tome of Beasts: 92
Derro Shadow Antipaladin,,,Derro Shadow Antipaladin,,,Tome of Beasts: 93
Desert Giant,,,Giant Desert,,,Tome of Beasts: 222
Deva,planar,,Angel Deva,,,"Monster Manual: 16, SRD 5.1: 261"
Devilbound Gnomish Prince,,,Gnome Prince Devilbound,,,Tome of Beasts: 420
Dipsa,,,Dipsa,,,Tome of Beasts: 118
Dire Wolf,"arctic, cave, forest, grassland",,Wolf Dire,,,"Basic Rules v1: 16, Monster Manual: 321, Player's Handbook: 305, SRD 5.1: 371"
Dissimortuum,,,Dissimortuum,,,Tome of Beasts: 119
Djinni,"arctic, coast, dungeon, grassland, planar",,Genie Djinni,,,"Monster Manual: 144, Princes of the Apocalypse Online Supplement v1.0: 14, SRD 5.1: 310"
Dogmole,,,Dogmole,,,Tome of Beasts: 120
Dogmole Juggernaut,,,Dogmole Juggernaut,,,Tome of Beasts: 121
Domovoi,,,Domovoi,,,Tome of Beasts: 122
Doppelganger,"dungeon, ruins, urban",,Doppelganger,"**Doppelgangers** take on the appearence of other humanoids, throwing off pursuit or luring victims to their doom with misdirection and disguise.",,"Basic Rules v1: 17, HotDQ supplement: 8, Monster Manual: 82, SRD 5.1: 279"
Doppelrat,,,Doppelrat,,,Tome of Beasts: 123
Dorreq,,,Dorreq,,,Tome of Beasts: 124
Draft Horse,urban,,Horse Draft,,,"Basic Rules v1: 17, Monster Manual: 321, SRD 5.1: 371"
Dragon Eel,,,Eel Dragon,,,Tome of Beasts: 146
Dragon Turtle,aquatic,,Turtle Dragon,,,"Monster Manual: 119, Princes of the Apocalypse Online Supplement v1.0: 14, SRD 5.1: 303"
Dragonleaf Tree,,,Dragonleaf Tree,,,Tome of Beasts: 147
Drakon,,,Drakon,,,Tome of Beasts: 157
Dream Eater,,,Dream Eater,,,Tome of Beasts: 158
Dretch,"dungeon, planar",,Demon Dretch,,,"Monster Manual: 57, SRD 5.1: 270"
Drider,"dungeon, underground",,Drider,,,"Monster Manual: 120, SRD 5.1: 304"
Drow,"dungeon, underground, urban",,Elf Drow,,,"Monster Manual: 128, SRD 5.1: 307"
Drowned Maiden,,,Drowned Maiden,,,Tome of Beasts: 159
Druid,"arctic, cave, coast, desert, forest, grassland, mountain, swamp, underground",,Druid,"**Druids** dwell in forests and other secluded wilderness locations, where they protect the natural world from monsters and the encroachment of civilization. Some are **tribal shamans** who heal the sick, pray to animal spirits, and provide spiritual guidance.",,"Monster Manual: 346, Princes of the Apocalypse Online Supplement v1.0: 15, SRD 5.1: 398"
Dryad,forest,,Dryad,,,"Monster Manual: 121, SRD 5.1: 304"
Duergar,"dungeon, underground",,Duergar,,,"Monster Manual: 122, Princes of the Apocalypse Online Supplement v1.0: 16, SRD 5.1: 305"
Dullahan,,,Dullahan,,,Tome of Beasts: 161
Dune Mimic,,,Mimic Dune,,,Tome of Beasts: 162
Duskthorn Dryad,,,Dryad Duskthorn,,,Tome of Beasts: 160
Dust Goblin,,,Goblin Dust,,,Tome of Beasts: 232
Dust Mephit,"dungeon, planar, ruins, urban",,Mephit Dust,,,"Monster Manual: 215, Princes of the Apocalypse Online Supplement v1.0: 16, SRD 5.1: 330"
Dwarven Ringmage,,,Dwarven Ringmage,,,Tome of Beasts: 420
Eagle,"arctic, grassland, mountain",,Eagle,,,"Basic Rules v1: 17, Monster Manual: 322, SRD 5.1: 371"
Eala,,,Eala,,,Tome of Beasts: 163
Earth Elemental,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground",,Elemental Earth,,,"Basic Rules v1: 17, Monster Manual: 124, SRD 5.1: 306"
Eater of Dust (Yakat-Shi),,,Eater of Dust (Yakat-Shi),,,Tome of Beasts: 164
Edimmu,,,Edimmu,,,Tome of Beasts: 165
Eel Hound,,,Eel Hound,,,Tome of Beasts: 166
Efreeti,"desert, dungeon, mountain, planar",,Genie Efreeti,,,"Monster Manual: 145, Princes of the Apocalypse Online Supplement v1.0: 16, SRD 5.1: 310"
Einherjar,,,Einherjar,,,Tome of Beasts: 167
Elder Shadow Drake,,,Drake Shadow Elder,,,Tome of Beasts: 153
Eleinomae,,,Eleinomae,,,Tome of Beasts: 168
Elemental Locus,,,Elemental Locus,,,Tome of Beasts: 169
Elephant,grassland,,Elephant,,,"Basic Rules v1: 18, Monster Manual: 322, SRD 5.1: 371"
Elk,"forest, grassland",,Elk,,,"Basic Rules v1: 18, HotDQ supplement: 8, Monster Manual: 322, SRD 5.1: 372"
Elvish Veteran Archer,,,Elvish Veteran Archer,,,Tome of Beasts: 422
Emerald Eye,,,Emerald Eye,,,Tome of Beasts: 175
Emerald Order Cult Leader,,,Emerald Order Cult Leader,,,Tome of Beasts: 421
Emperor of the Ghouls,,unique,Ghoul 1Emperor ,,,Tome of Beasts: 218
Empty Cloak,,,Empty Cloak,,,Tome of Beasts: 176
Eonic Drifter,,,Eonic Drifter,,,Tome of Beasts: 177
Erina Defender,,,Erina Defender,,,Tome of Beasts: 178
Erina Scrounger,,,Erina Scrounger,,,Tome of Beasts: 178
Erinyes,"dungeon, planar",,Devil Erinyes,,,"Monster Manual: 73, SRD 5.1: 276"
Ettercap,"cave, dungeon, forest, ruins, swamp, underground",,Ettercap,,,"HotDQ supplement: 9, Monster Manual: 131, SRD 5.1: 308"
Ettin,"cave, grassland, mountain, swamp",,Ettin,,,"Monster Manual: 132, Princes of the Apocalypse Online Supplement v1.0: 17, SRD 5.1: 308"
Eye Golem,,,Golem Eye,,,Tome of Beasts: 233
Far Darrig,,,Far Darrig,,,Tome of Beasts: 179
Fate Eater,,,Fate Eater,,,Tome of Beasts: 180
Fear Smith,,,Fear Smith,,,Tome of Beasts: 181
Fellforged,,,Fellforged,,,Tome of Beasts: 182
Fext,,,Fext,,,Tome of Beasts: 183
Feyward Tree,,,Feyward Tree,,,Tome of Beasts: 200
Fidele,,,Fidele,,,Tome of Beasts: 21
Fire Dancer Swarm,,,Fire Dancer Swarm,,,Tome of Beasts: 373
Fire Elemental,"cave, coast, desert, dungeon, grassland, mountain, planar, ruins, underground",,Elemental Fire,,,"Basic Rules v1: 18, Monster Manual: 125, SRD 5.1: 306"
Fire Giant,"mountain, planar",,Giant Fire,,,"Basic Rules v1: 19, Monster Manual: 154, SRD 5.1: 312"
Firebird,,,Firebird,,,Tome of Beasts: 201
Firegeist,,,Firegeist,,,Tome of Beasts: 202
Flab Giant,,,Giant Flab,,,Tome of Beasts: 223
Flame Dragon Wyrmling,,,Dragon Other Flame 4Wyrmling,,,Tome of Beasts: 131
Flesh Golem,"dungeon, ruins",,Golem Flesh,,,"Basic Rules v1: 20, Monster Manual: 169, SRD 5.1: 316"
Flutterflesh,,,Flutterflesh,,,Tome of Beasts: 203
Flying Snake,"forest, swamp",,Snake Flying,"A **flying snake** is a brightly colored, winged serpent found in remote jungles. Tribespeople and cultists sometimes domesticate flying snakes to server as messengers that deliver scrolls wrapped in their coils.",,"Basic Rules v1: 20, Monster Manual: 322, SRD 5.1: 372"
Flying Sword,"dungeon, ruins, urban",,Animated Flying Sword,,,"Basic Rules v1: 20, Monster Manual: 20, SRD 5.1: 264"
Folk of Leng,,,Folk of Leng,,,Tome of Beasts: 204
Forest Marauder,,,Forest Marauder,,,Tome of Beasts: 205
Fraughashar,,,Fraughashar,,,Tome of Beasts: 206
